TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;TIPO;1
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;DESCRICAO;FERRARI
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;NOTA FISCAL;785268
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;CONTROLE;125
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;VIDA UTIL;50
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;VINCULACAO;AUTOMÓVEL NECESSÁRIO PARA LOCOMOÇÃO DOS ANALISTAS
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;SETOR DESTINO;RECURSOS HUMANOS
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;NOME ARQUIVO IMAGEM;DF2025NOTA_282341234.pdf
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;RAZAO SOCIAL;SERVIÇOS PARA ALGUMA COISA LTDA
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;CNPJ;92.631.409/0001-24
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;QUANTIDADE;12
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;VALOR;8905.02
BENS PATRIMONIADOS;2023-11;ALTERACAO;587392;UNIDADE;10892
