TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;UNIDADE;10769
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;MES INICIO;2
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;ANO INICIO;2024
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;MES FIM;10
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;ANO FIM;2025
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;NOME;PEDRO SILVA
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;CPF;869.012.060-20
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;VALOR MENSAL;3331,19
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;VIGENCIA;12
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;SERVICO;PRESTACAO DE SERVICOS DE ARMAZENAGEM DE CAIXAS
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;NOME DO ARQUIVO; 01HOS012016.pdf
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;CONTRATO;10/2021
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;CNPJ;57.383.723/0001-34
CONTRATOS DE TERCEIROS;2023-12;ALTERACAO;1399945;RAZAO SOCIAL;EMPRESA ALGUMA COISA LTDA
