TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VINCULO;CLT
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;UNIDADE;259
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;MES DE COMPETENCIA;12
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;ANO DE COMPETENCIA;2025
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;CARGA HORARIA EFETIVA;50
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PERCENTUAL DE RATEIO;200
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;DATA LICENCA INICIO;01/01/2025
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;DATA LICENCA FIM;30/12/2025
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SALARIO BASE PROVENTOS;6.265,50
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;FERIAS PROVENTOS;1.250,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;13 SALARIO PROVENTOS;1.300,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;REEMBOLSO PROVENTOS;600,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;HORAS EXTRAS PROVENTOS;850,75
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PLANTAO EXTRA PROVENTOS;920,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;INSALUBRIDADE PROVENTOS;480,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PERICULOSIDADE PROVENTOS;530,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;ADICIONAL NOTURNO PROVENTOS;310,25
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;GRATIFICACAO DE TITULACAO PROVENTOS;750,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PREMIACOES PROVENTOS;1.000,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;BONIFICACAO VARIAVEL 3 PROVENTOS;1.150,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SALARIO FAMILIA PROVENTOS;150,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;BOLSA AUXILIO PROVENTOS;400,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;GRATIFICACOES PROVENTOS;870,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;LICENCA MATERNIDADE PROVENTOS;0,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;DESCANSO SEMANAL REMUNERADO PROVENTOS;620,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;ASSISTENCIA FINANCEIRA COMPLEMENTAR UNIAO PROVENTOS;390,00
