TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
PROVISIONAMENTO;2025-05;ALTERACAO;7523;VINCULO;CLT
PROVISIONAMENTO;2025-05;ALTERACAO;7523;UNIDADE;259
PROVISIONAMENTO;2025-05;ALTERACAO;7523;MES DE COMPETENCIA;12
PROVISIONAMENTO;2025-05;ALTERACAO;7523;ANO DE COMPETENCIA;2025
PROVISIONAMENTO;2025-05;ALTERACAO;7523;13O SALARIO (GRUPO B);1.200,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;ABONO DE FERIAS (GRUPO B);950,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;FERIAS PROPORCIONAIS - DEMISSAO (GRUPO B);1.450,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;FERIAS INTEGRAIS (GRUPO B);2.300,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;AVISO PREVIO (GRUPO C);2.800,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;AVISO PREVIO INDENIZADO (GRUPO C);2.500,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;13O SALARIO (GRUPO C);1.300,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;FERIAS E ABONO CONSTITUCIONAL (GRUPO C);2.750,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;MULTA FGTS (GRUPO D);1.800,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;INCIDENCIA DE A SOBRE B + C (GRUPO E);600,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;FERIAS (BAIXAS);1.200,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;13O SALARIO (BAIXAS);1.150,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;AVISO PREVIO - RESCISAO (BAIXAS);2.000,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;AVISO PREVIO INDENIZADO - RESCISAO (BAIXAS);2.100,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;13O SALARIO - RESCISAO (BAIXAS);1.300,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;FERIAS E ABONO - RESCISAO (BAIXAS);2.200,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;MULTA FGTS - RESCISAO (BAIXAS);1.950,00
PROVISIONAMENTO;2025-05;ALTERACAO;7523;OBSERVACAO;TESTE
